feature_index,uci_feature_index,feature_name
115,116,"tBodyAccJerk-arCoeff()-Z,3"
116,117,"tBodyAccJerk-arCoeff()-Z,4"
117,118,"tBodyAccJerk-correlation()-X,Y"
118,119,"tBodyAccJerk-correlation()-X,Z"
119,120,"tBodyAccJerk-correlation()-Y,Z"
120,121,tBodyGyro-mean()-X
121,122,tBodyGyro-mean()-Y
122,123,tBodyGyro-mean()-Z
123,124,tBodyGyro-std()-X
124,125,tBodyGyro-std()-Y
125,126,tBodyGyro-std()-Z
126,127,tBodyGyro-mad()-X
127,128,tBodyGyro-mad()-Y
128,129,tBodyGyro-mad()-Z
129,130,tBodyGyro-max()-X
130,131,tBodyGyro-max()-Y
131,132,tBodyGyro-max()-Z
132,133,tBodyGyro-min()-X
133,134,tBodyGyro-min()-Y
134,135,tBodyGyro-min()-Z
135,136,tBodyGyro-sma()
136,137,tBodyGyro-energy()-X
137,138,tBodyGyro-energy()-Y
138,139,tBodyGyro-energy()-Z
139,140,tBodyGyro-iqr()-X
140,141,tBodyGyro-iqr()-Y
141,142,tBodyGyro-iqr()-Z
142,143,tBodyGyro-entropy()-X
143,144,tBodyGyro-entropy()-Y
144,145,tBodyGyro-entropy()-Z
145,146,"tBodyGyro-arCoeff()-X,1"
146,147,"tBodyGyro-arCoeff()-X,2"
147,148,"tBodyGyro-arCoeff()-X,3"
148,149,"tBodyGyro-arCoeff()-X,4"
149,150,"tBodyGyro-arCoeff()-Y,1"
150,151,"tBodyGyro-arCoeff()-Y,2"
151,152,"tBodyGyro-arCoeff()-Y,3"
152,153,"tBodyGyro-arCoeff()-Y,4"
153,154,"tBodyGyro-arCoeff()-Z,1"
154,155,"tBodyGyro-arCoeff()-Z,2"
155,156,"tBodyGyro-arCoeff()-Z,3"
156,157,"tBodyGyro-arCoeff()-Z,4"
157,158,"tBodyGyro-correlation()-X,Y"
158,159,"tBodyGyro-correlation()-X,Z"
159,160,"tBodyGyro-correlation()-Y,Z"
160,161,tBodyGyroJerk-mean()-X
161,162,tBodyGyroJerk-mean()-Y
162,163,tBodyGyroJerk-mean()-Z
163,164,tBodyGyroJerk-std()-X
164,165,tBodyGyroJerk-std()-Y
165,166,tBodyGyroJerk-std()-Z
166,167,tBodyGyroJerk-mad()-X
167,168,tBodyGyroJerk-mad()-Y
168,169,tBodyGyroJerk-mad()-Z
169,170,tBodyGyroJerk-max()-X
170,171,tBodyGyroJerk-max()-Y
171,172,tBodyGyroJerk-max()-Z
172,173,tBodyGyroJerk-min()-X
173,174,tBodyGyroJerk-min()-Y
174,175,tBodyGyroJerk-min()-Z
175,176,tBodyGyroJerk-sma()
176,177,tBodyGyroJerk-energy()-X
177,178,tBodyGyroJerk-energy()-Y
178,179,tBodyGyroJerk-energy()-Z
179,180,tBodyGyroJerk-iqr()-X
180,181,tBodyGyroJerk-iqr()-Y
181,182,tBodyGyroJerk-iqr()-Z
182,183,tBodyGyroJerk-entropy()-X
183,184,tBodyGyroJerk-entropy()-Y
184,185,tBodyGyroJerk-entropy()-Z
185,186,"tBodyGyroJerk-arCoeff()-X,1"
186,187,"tBodyGyroJerk-arCoeff()-X,2"
187,188,"tBodyGyroJerk-arCoeff()-X,3"
188,189,"tBodyGyroJerk-arCoeff()-X,4"
189,190,"tBodyGyroJerk-arCoeff()-Y,1"
190,191,"tBodyGyroJerk-arCoeff()-Y,2"
191,192,"tBodyGyroJerk-arCoeff()-Y,3"
192,193,"tBodyGyroJerk-arCoeff()-Y,4"
193,194,"tBodyGyroJerk-arCoeff()-Z,1"
194,195,"tBodyGyroJerk-arCoeff()-Z,2"
195,196,"tBodyGyroJerk-arCoeff()-Z,3"
196,197,"tBodyGyroJerk-arCoeff()-Z,4"
197,198,"tBodyGyroJerk-correlation()-X,Y"
198,199,"tBodyGyroJerk-correlation()-X,Z"
199,200,"tBodyGyroJerk-correlation()-Y,Z"
200,201,tBodyAccMag-mean()
201,202,tBodyAccMag-std()
202,203,tBodyAccMag-mad()
203,204,tBodyAccMag-max()
204,205,tBodyAccMag-min()
205,206,tBodyAccMag-sma()
206,207,tBodyAccMag-energy()
207,208,tBodyAccMag-iqr()
208,209,tBodyAccMag-entropy()
209,210,tBodyAccMag-arCoeff()1
210,211,tBodyAccMag-arCoeff()2
211,212,tBodyAccMag-arCoeff()3
212,213,tBodyAccMag-arCoeff()4
213,214,tGravityAccMag-mean()
214,215,tGravityAccMag-std()
215,216,tGravityAccMag-mad()
216,217,tGravityAccMag-max()
217,218,tGravityAccMag-min()
218,219,tGravityAccMag-sma()
219,220,tGravityAccMag-energy()
220,221,tGravityAccMag-iqr()
221,222,tGravityAccMag-entropy()
222,223,tGravityAccMag-arCoeff()1
223,224,tGravityAccMag-arCoeff()2
224,225,tGravityAccMag-arCoeff()3
225,226,tGravityAccMag-arCoeff()4
226,227,tBodyAccJerkMag-mean()
227,228,tBodyAccJerkMag-std()
228,229,tBodyAccJerkMag-mad()
229,230,tBodyAccJerkMag-max()
230,231,tBodyAccJerkMag-min()
231,232,tBodyAccJerkMag-sma()
232,233,tBodyAccJerkMag-energy()
233,234,tBodyAccJerkMag-iqr()
234,235,tBodyAccJerkMag-entropy()
235,236,tBodyAccJerkMag-arCoeff()1
236,237,tBodyAccJerkMag-arCoeff()2
237,238,tBodyAccJerkMag-arCoeff()3
238,239,tBodyAccJerkMag-arCoeff()4
239,240,tBodyGyroMag-mean()
240,241,tBodyGyroMag-std()
241,242,tBodyGyroMag-mad()
242,243,tBodyGyroMag-max()
243,244,tBodyGyroMag-min()
244,245,tBodyGyroMag-sma()
245,246,tBodyGyroMag-energy()
246,247,tBodyGyroMag-iqr()
247,248,tBodyGyroMag-entropy()
248,249,tBodyGyroMag-arCoeff()1
249,250,tBodyGyroMag-arCoeff()2
250,251,tBodyGyroMag-arCoeff()3
251,252,tBodyGyroMag-arCoeff()4
252,253,tBodyGyroJerkMag-mean()
253,254,tBodyGyroJerkMag-std()
254,255,tBodyGyroJerkMag-mad()
255,256,tBodyGyroJerkMag-max()
256,257,tBodyGyroJerkMag-min()
257,258,tBodyGyroJerkMag-sma()
258,259,tBodyGyroJerkMag-energy()
259,260,tBodyGyroJerkMag-iqr()
260,261,tBodyGyroJerkMag-entropy()
261,262,tBodyGyroJerkMag-arCoeff()1
262,263,tBodyGyroJerkMag-arCoeff()2
263,264,tBodyGyroJerkMag-arCoeff()3
264,265,tBodyGyroJerkMag-arCoeff()4
265,266,fBodyAcc-mean()-X
266,267,fBodyAcc-mean()-Y
267,268,fBodyAcc-mean()-Z
268,269,fBodyAcc-std()-X
269,270,fBodyAcc-std()-Y
270,271,fBodyAcc-std()-Z
271,272,fBodyAcc-mad()-X
272,273,fBodyAcc-mad()-Y
273,274,fBodyAcc-mad()-Z
274,275,fBodyAcc-max()-X
275,276,fBodyAcc-max()-Y
276,277,fBodyAcc-max()-Z
277,278,fBodyAcc-min()-X
278,279,fBodyAcc-min()-Y
279,280,fBodyAcc-min()-Z
280,281,fBodyAcc-sma()
281,282,fBodyAcc-energy()-X
282,283,fBodyAcc-energy()-Y
283,284,fBodyAcc-energy()-Z
284,285,fBodyAcc-iqr()-X
285,286,fBodyAcc-iqr()-Y
286,287,fBodyAcc-iqr()-Z
287,288,fBodyAcc-entropy()-X
288,289,fBodyAcc-entropy()-Y
289,290,fBodyAcc-entropy()-Z
290,291,fBodyAcc-maxInds-X
291,292,fBodyAcc-maxInds-Y
292,293,fBodyAcc-maxInds-Z
293,294,fBodyAcc-meanFreq()-X
294,295,fBodyAcc-meanFreq()-Y
295,296,fBodyAcc-meanFreq()-Z
296,297,fBodyAcc-skewness()-X
297,298,fBodyAcc-kurtosis()-X
298,299,fBodyAcc-skewness()-Y
299,300,fBodyAcc-kurtosis()-Y
300,301,fBodyAcc-skewness()-Z
301,302,fBodyAcc-kurtosis()-Z
302,303,"fBodyAcc-bandsEnergy()-1,8"
303,304,"fBodyAcc-bandsEnergy()-9,16"
304,305,"fBodyAcc-bandsEnergy()-17,24"
305,306,"fBodyAcc-bandsEnergy()-25,32"
306,307,"fBodyAcc-bandsEnergy()-33,40"
307,308,"fBodyAcc-bandsEnergy()-41,48"
308,309,"fBodyAcc-bandsEnergy()-49,56"
309,310,"fBodyAcc-bandsEnergy()-57,64"
310,311,"fBodyAcc-bandsEnergy()-1,16"
311,312,"fBodyAcc-bandsEnergy()-17,32"
312,313,"fBodyAcc-bandsEnergy()-33,48"
313,314,"fBodyAcc-bandsEnergy()-49,64"
314,315,"fBodyAcc-bandsEnergy()-1,24"
315,316,"fBodyAcc-bandsEnergy()-25,48"
316,317,"fBodyAcc-bandsEnergy()-1,8"
317,318,"fBodyAcc-bandsEnergy()-9,16"
318,319,"fBodyAcc-bandsEnergy()-17,24"
319,320,"fBodyAcc-bandsEnergy()-25,32"
320,321,"fBodyAcc-bandsEnergy()-33,40"
321,322,"fBodyAcc-bandsEnergy()-41,48"
322,323,"fBodyAcc-bandsEnergy()-49,56"
323,324,"fBodyAcc-bandsEnergy()-57,64"
324,325,"fBodyAcc-bandsEnergy()-1,16"
325,326,"fBodyAcc-bandsEnergy()-17,32"
326,327,"fBodyAcc-bandsEnergy()-33,48"
327,328,"fBodyAcc-bandsEnergy()-49,64"
328,329,"fBodyAcc-bandsEnergy()-1,24"
329,330,"fBodyAcc-bandsEnergy()-25,48"
330,331,"fBodyAcc-bandsEnergy()-1,8"
331,332,"fBodyAcc-bandsEnergy()-9,16"
332,333,"fBodyAcc-bandsEnergy()-17,24"
333,334,"fBodyAcc-bandsEnergy()-25,32"
334,335,"fBodyAcc-bandsEnergy()-33,40"
335,336,"fBodyAcc-bandsEnergy()-41,48"
336,337,"fBodyAcc-bandsEnergy()-49,56"
337,338,"fBodyAcc-bandsEnergy()-57,64"
338,339,"fBodyAcc-bandsEnergy()-1,16"
339,340,"fBodyAcc-bandsEnergy()-17,32"
340,341,"fBodyAcc-bandsEnergy()-33,48"
341,342,"fBodyAcc-bandsEnergy()-49,64"
342,343,"fBodyAcc-bandsEnergy()-1,24"
343,344,"fBodyAcc-bandsEnergy()-25,48"
344,345,fBodyAccJerk-mean()-X
345,346,fBodyAccJerk-mean()-Y
346,347,fBodyAccJerk-mean()-Z
347,348,fBodyAccJerk-std()-X
348,349,fBodyAccJerk-std()-Y
349,350,fBodyAccJerk-std()-Z
350,351,fBodyAccJerk-mad()-X
351,352,fBodyAccJerk-mad()-Y
352,353,fBodyAccJerk-mad()-Z
353,354,fBodyAccJerk-max()-X
354,355,fBodyAccJerk-max()-Y
355,356,fBodyAccJerk-max()-Z
356,357,fBodyAccJerk-min()-X
357,358,fBodyAccJerk-min()-Y
358,359,fBodyAccJerk-min()-Z
359,360,fBodyAccJerk-sma()
360,361,fBodyAccJerk-energy()-X
361,362,fBodyAccJerk-energy()-Y
362,363,fBodyAccJerk-energy()-Z
363,364,fBodyAccJerk-iqr()-X
364,365,fBodyAccJerk-iqr()-Y
365,366,fBodyAccJerk-iqr()-Z
366,367,fBodyAccJerk-entropy()-X
367,368,fBodyAccJerk-entropy()-Y
368,369,fBodyAccJerk-entropy()-Z
369,370,fBodyAccJerk-maxInds-X
370,371,fBodyAccJerk-maxInds-Y
371,372,fBodyAccJerk-maxInds-Z
372,373,fBodyAccJerk-meanFreq()-X
373,374,fBodyAccJerk-meanFreq()-Y
374,375,fBodyAccJerk-meanFreq()-Z
375,376,fBodyAccJerk-skewness()-X
376,377,fBodyAccJerk-kurtosis()-X
377,378,fBodyAccJerk-skewness()-Y
378,379,fBodyAccJerk-kurtosis()-Y
379,380,fBodyAccJerk-skewness()-Z
380,381,fBodyAccJerk-kurtosis()-Z
381,382,"fBodyAccJerk-bandsEnergy()-1,8"
382,383,"fBodyAccJerk-bandsEnergy()-9,16"
383,384,"fBodyAccJerk-bandsEnergy()-17,24"
384,385,"fBodyAccJerk-bandsEnergy()-25,32"
385,386,"fBodyAccJerk-bandsEnergy()-33,40"
386,387,"fBodyAccJerk-bandsEnergy()-41,48"
387,388,"fBodyAccJerk-bandsEnergy()-49,56"
388,389,"fBodyAccJerk-bandsEnergy()-57,64"
389,390,"fBodyAccJerk-bandsEnergy()-1,16"
390,391,"fBodyAccJerk-bandsEnergy()-17,32"
391,392,"fBodyAccJerk-bandsEnergy()-33,48"
392,393,"fBodyAccJerk-bandsEnergy()-49,64"
393,394,"fBodyAccJerk-bandsEnergy()-1,24"
394,395,"fBodyAccJerk-bandsEnergy()-25,48"
395,396,"fBodyAccJerk-bandsEnergy()-1,8"
396,397,"fBodyAccJerk-bandsEnergy()-9,16"
397,398,"fBodyAccJerk-bandsEnergy()-17,24"
398,399,"fBodyAccJerk-bandsEnergy()-25,32"
399,400,"fBodyAccJerk-bandsEnergy()-33,40"
400,401,"fBodyAccJerk-bandsEnergy()-41,48"
401,402,"fBodyAccJerk-bandsEnergy()-49,56"
402,403,"fBodyAccJerk-bandsEnergy()-57,64"
403,404,"fBodyAccJerk-bandsEnergy()-1,16"
404,405,"fBodyAccJerk-bandsEnergy()-17,32"
405,406,"fBodyAccJerk-bandsEnergy()-33,48"
406,407,"fBodyAccJerk-bandsEnergy()-49,64"
407,408,"fBodyAccJerk-bandsEnergy()-1,24"
408,409,"fBodyAccJerk-bandsEnergy()-25,48"
409,410,"fBodyAccJerk-bandsEnergy()-1,8"
410,411,"fBodyAccJerk-bandsEnergy()-9,16"
411,412,"fBodyAccJerk-bandsEnergy()-17,24"
412,413,"fBodyAccJerk-bandsEnergy()-25,32"
413,414,"fBodyAccJerk-bandsEnergy()-33,40"
414,415,"fBodyAccJerk-bandsEnergy()-41,48"
415,416,"fBodyAccJerk-bandsEnergy()-49,56"
416,417,"fBodyAccJerk-bandsEnergy()-57,64"
417,418,"fBodyAccJerk-bandsEnergy()-1,16"
418,419,"fBodyAccJerk-bandsEnergy()-17,32"
419,420,"fBodyAccJerk-bandsEnergy()-33,48"
420,421,"fBodyAccJerk-bandsEnergy()-49,64"
421,422,"fBodyAccJerk-bandsEnergy()-1,24"
422,423,"fBodyAccJerk-bandsEnergy()-25,48"
423,424,fBodyGyro-mean()-X
424,425,fBodyGyro-mean()-Y
425,426,fBodyGyro-mean()-Z
426,427,fBodyGyro-std()-X
427,428,fBodyGyro-std()-Y
428,429,fBodyGyro-std()-Z
429,430,fBodyGyro-mad()-X
430,431,fBodyGyro-mad()-Y
431,432,fBodyGyro-mad()-Z
432,433,fBodyGyro-max()-X
433,434,fBodyGyro-max()-Y
434,435,fBodyGyro-max()-Z
435,436,fBodyGyro-min()-X
436,437,fBodyGyro-min()-Y
437,438,fBodyGyro-min()-Z
438,439,fBodyGyro-sma()
439,440,fBodyGyro-energy()-X
440,441,fBodyGyro-energy()-Y
441,442,fBodyGyro-energy()-Z
442,443,fBodyGyro-iqr()-X
443,444,fBodyGyro-iqr()-Y
444,445,fBodyGyro-iqr()-Z
445,446,fBodyGyro-entropy()-X
446,447,fBodyGyro-entropy()-Y
447,448,fBodyGyro-entropy()-Z
448,449,fBodyGyro-maxInds-X
449,450,fBodyGyro-maxInds-Y
450,451,fBodyGyro-maxInds-Z
451,452,fBodyGyro-meanFreq()-X
452,453,fBodyGyro-meanFreq()-Y
453,454,fBodyGyro-meanFreq()-Z
454,455,fBodyGyro-skewness()-X
455,456,fBodyGyro-kurtosis()-X
456,457,fBodyGyro-skewness()-Y
457,458,fBodyGyro-kurtosis()-Y
458,459,fBodyGyro-skewness()-Z
459,460,fBodyGyro-kurtosis()-Z
460,461,"fBodyGyro-bandsEnergy()-1,8"
461,462,"fBodyGyro-bandsEnergy()-9,16"
462,463,"fBodyGyro-bandsEnergy()-17,24"
463,464,"fBodyGyro-bandsEnergy()-25,32"
464,465,"fBodyGyro-bandsEnergy()-33,40"
465,466,"fBodyGyro-bandsEnergy()-41,48"
466,467,"fBodyGyro-bandsEnergy()-49,56"
467,468,"fBodyGyro-bandsEnergy()-57,64"
468,469,"fBodyGyro-bandsEnergy()-1,16"
469,470,"fBodyGyro-bandsEnergy()-17,32"
470,471,"fBodyGyro-bandsEnergy()-33,48"
471,472,"fBodyGyro-bandsEnergy()-49,64"
472,473,"fBodyGyro-bandsEnergy()-1,24"
473,474,"fBodyGyro-bandsEnergy()-25,48"
474,475,"fBodyGyro-bandsEnergy()-1,8"
475,476,"fBodyGyro-bandsEnergy()-9,16"
476,477,"fBodyGyro-bandsEnergy()-17,24"
477,478,"fBodyGyro-bandsEnergy()-25,32"
478,479,"fBodyGyro-bandsEnergy()-33,40"
479,480,"fBodyGyro-bandsEnergy()-41,48"
480,481,"fBodyGyro-bandsEnergy()-49,56"
481,482,"fBodyGyro-bandsEnergy()-57,64"
482,483,"fBodyGyro-bandsEnergy()-1,16"
483,484,"fBodyGyro-bandsEnergy()-17,32"
484,485,"fBodyGyro-bandsEnergy()-33,48"
485,486,"fBodyGyro-bandsEnergy()-49,64"
486,487,"fBodyGyro-bandsEnergy()-1,24"
487,488,"fBodyGyro-bandsEnergy()-25,48"
488,489,"fBodyGyro-bandsEnergy()-1,8"
489,490,"fBodyGyro-bandsEnergy()-9,16"
490,491,"fBodyGyro-bandsEnergy()-17,24"
491,492,"fBodyGyro-bandsEnergy()-25,32"
492,493,"fBodyGyro-bandsEnergy()-33,40"
493,494,"fBodyGyro-bandsEnergy()-41,48"
494,495,"fBodyGyro-bandsEnergy()-49,56"
495,496,"fBodyGyro-bandsEnergy()-57,64"
496,497,"fBodyGyro-bandsEnergy()-1,16"
497,498,"fBodyGyro-bandsEnergy()-17,32"
498,499,"fBodyGyro-bandsEnergy()-33,48"
499,500,"fBodyGyro-bandsEnergy()-49,64"
500,501,"fBodyGyro-bandsEnergy()-1,24"
501,502,"fBodyGyro-bandsEnergy()-25,48"
502,503,fBodyAccMag-mean()
503,504,fBodyAccMag-std()
504,505,fBodyAccMag-mad()
505,506,fBodyAccMag-max()
506,507,fBodyAccMag-min()
507,508,fBodyAccMag-sma()
508,509,fBodyAccMag-energy()
509,510,fBodyAccMag-iqr()
510,511,fBodyAccMag-entropy()
511,512,fBodyAccMag-maxInds
512,513,fBodyAccMag-meanFreq()
513,514,fBodyAccMag-skewness()
514,515,fBodyAccMag-kurtosis()
515,516,fBodyBodyAccJerkMag-mean()
516,517,fBodyBodyAccJerkMag-std()
517,518,fBodyBodyAccJerkMag-mad()
518,519,fBodyBodyAccJerkMag-max()
519,520,fBodyBodyAccJerkMag-min()
520,521,fBodyBodyAccJerkMag-sma()
521,522,fBodyBodyAccJerkMag-energy()
522,523,fBodyBodyAccJerkMag-iqr()
523,524,fBodyBodyAccJerkMag-entropy()
524,525,fBodyBodyAccJerkMag-maxInds
525,526,fBodyBodyAccJerkMag-meanFreq()
526,527,fBodyBodyAccJerkMag-skewness()
527,528,fBodyBodyAccJerkMag-kurtosis()
528,529,fBodyBodyGyroMag-mean()
529,530,fBodyBodyGyroMag-std()
530,531,fBodyBodyGyroMag-mad()
531,532,fBodyBodyGyroMag-max()
532,533,fBodyBodyGyroMag-min()
533,534,fBodyBodyGyroMag-sma()
534,535,fBodyBodyGyroMag-energy()
535,536,fBodyBodyGyroMag-iqr()
536,537,fBodyBodyGyroMag-entropy()
537,538,fBodyBodyGyroMag-maxInds
538,539,fBodyBodyGyroMag-meanFreq()
539,540,fBodyBodyGyroMag-skewness()
540,541,fBodyBodyGyroMag-kurtosis()
541,542,fBodyBodyGyroJerkMag-mean()
542,543,fBodyBodyGyroJerkMag-std()
543,544,fBodyBodyGyroJerkMag-mad()
544,545,fBodyBodyGyroJerkMag-max()
545,546,fBodyBodyGyroJerkMag-min()
546,547,fBodyBodyGyroJerkMag-sma()
547,548,fBodyBodyGyroJerkMag-energy()
548,549,fBodyBodyGyroJerkMag-iqr()
549,550,fBodyBodyGyroJerkMag-entropy()
550,551,fBodyBodyGyroJerkMag-maxInds
551,552,fBodyBodyGyroJerkMag-meanFreq()
552,553,fBodyBodyGyroJerkMag-skewness()
553,554,fBodyBodyGyroJerkMag-kurtosis()
554,555,"angle(tBodyAccMean,gravity)"
555,556,"angle(tBodyAccJerkMean),gravityMean)"
556,557,"angle(tBodyGyroMean,gravityMean)"
557,558,"angle(tBodyGyroJerkMean,gravityMean)"
558,559,"angle(X,gravityMean)"
559,560,"angle(Y,gravityMean)"
560,561,"angle(Z,gravityMean)"
