age,gender,education_level,school_type,family_income,parent_education,urban_rural,previous_exam_score,previous_gpa,attendance_percentage,assignment_completion_rate,class_participation,study_hours_per_day,self_study_hours,private_tuition,online_learning_hours,study_consistency,study_environment,study_method,revision_frequency,practice_tests_completed,notes_quality,sleep_hours,sleep_quality,daily_screen_time,physical_activity_hours,break_frequency,stress_level,motivation_level,internet_access,device_availability,educational_app_usage,online_course_hours,exam_difficulty,exam_preparation_days,questions_attempted,questions_correct,time_management_score,exam_anxiety_level,exam_score
17,0.0,1.0,2.0,2.0,0.0,1.0,91.29,3.74,80.01,80.59,0.0,4.38,2.26,0,0.23,2.0,0.0,3.0,1.0,7,0.0,6.8,1.0,5.5,2.05,1.0,7,2.0,1,0.0,0.0,1.51,0.0,10,87,82,64.28,8.04,96.07
20,1.0,1.0,2.0,0.0,3.0,2.0,59.7,2.19,89.02,74.8,2.0,4.24,3.0,0,1.84,2.0,2.0,0.0,1.0,4,0.0,9.27,2.0,4.63,4.29,0.0,10,1.0,1,0.0,1.0,1.47,2.0,18,90,61,89.62,9.4,67.43
19,1.0,1.0,2.0,0.0,0.0,1.0,66.92,2.83,98.57,90.66,0.0,5.19,4.09,0,0.6,2.0,0.0,2.0,0.0,10,2.0,7.28,2.0,3.68,4.78,1.0,10,2.0,1,0.0,1.0,1.29,0.0,17,96,66,77.6,10.0,68.46
19,0.0,0.0,2.0,1.0,3.0,0.0,47.21,1.8,78.52,62.9,0.0,2.59,1.44,0,3.48,1.0,0.0,2.0,2.0,6,0.0,7.76,2.0,6.22,1.65,0.0,10,0.0,1,0.0,1.0,2.0,2.0,17,91,39,45.89,9.53,40.38
20,1.0,0.0,2.0,4.0,1.0,1.0,64.26,2.59,87.47,71.43,2.0,1.57,1.23,0,1.51,1.0,0.0,1.0,1.0,6,0.0,5.95,1.0,4.94,1.39,0.0,10,2.0,1,1.0,1.0,5.66,0.0,13,96,59,59.72,8.08,64.78
19,1.0,1.0,2.0,3.0,4.0,1.0,77.14,3.0,80.03,66.97,2.0,2.41,2.16,0,0.37,2.0,2.0,0.0,2.0,8,2.0,5.24,1.0,4.51,0.81,0.0,10,2.0,1,0.0,1.0,0.11,2.0,13,94,56,78.39855100844147,10.0,58.63
16,1.0,0.0,2.0,2.0,4.0,0.0,71.13,2.66,84.61688196855897,77.43,0.0,1.75,0.98,1,1.55,1.0,0.0,2.0,1.0,7,2.0,6.53,3.0,4.06,1.89,1.0,7,2.0,1,0.0,2.0,1.39,1.0,21,85,55,97.17,7.16,64.03
17,0.0,0.0,2.0,4.0,4.0,1.0,56.78,2.28,75.65,75.4,1.0,1.64,1.39,0,7.26,2.0,2.0,0.0,0.0,4,0.0,6.43,2.0,6.89,3.35,0.0,10,2.0,1,0.0,1.0,1.37,1.0,2,99,39,74.87,7.61,42.53
20,0.0,0.0,2.0,3.0,4.0,0.0,81.12,3.34,85.17,73.7,2.0,4.52,3.29,0,1.48,2.0,2.0,4.0,0.0,6,2.0,6.76,2.0,4.17,2.37,2.0,10,0.0,0,0.0,2.0,8.29,1.0,3,91,64,73.6,9.5,70.64
17,1.0,1.0,2.0,2.0,3.0,2.0,52.34,2.780892014706042,100.0,72.49,2.0,3.27,2.54,1,1.72,2.0,1.0,0.0,2.0,5,0.0,7.26,1.0,3.46,0.89,2.0,10,2.0,1,1.0,1.0,1.77,0.0,24,89,59,70.51,9.35,65.12
14,1.0,1.0,2.0,2.0,4.0,2.0,45.81,1.68,85.07,59.23,2.0,2.74,2.43,0,5.9,2.0,2.0,4.0,2.0,4,0.0,6.34,1.0,3.89,1.29,2.0,10,1.0,1,0.0,0.0,0.76,2.0,6,94,43,56.8,8.6,44.75
16,0.0,1.0,0.0,3.0,0.0,2.0,61.53,2.61,88.29,83.38,0.0,2.33,1.66,0,3.03,2.0,2.0,0.0,2.0,3,2.0,7.68,1.0,5.18,2.67,1.0,10,0.0,1,0.0,1.0,2.65,2.0,15,92,46,58.91,10.0,51.44
18,0.0,1.0,2.0,3.0,1.0,2.0,72.09,3.0,93.12,83.15,2.0,4.32,3.35,1,0.85,2.0,0.0,0.0,1.0,4,0.0,7.71,2.0,6.8,1.07,1.0,10,2.0,1,0.0,2.0,0.01,1.0,30,98,62,67.57,10.0,62.21
16,1.0,1.0,2.0,1.0,0.0,2.0,63.66,2.59,96.47,71.73,0.0,3.41,1.88,1,0.06,2.0,2.0,0.0,2.0,5,0.0,6.33,0.0,2.31,1.52,1.0,8,1.0,1,0.0,1.0,1.04,2.0,3,98,61,74.15,8.98,61.24
20,1.0,0.0,0.0,3.0,1.0,1.0,71.46,2.780892014706042,76.34,54.79,1.0,1.72,1.52,1,0.37,2.0,2.0,3.0,1.0,5,0.0,9.56,0.0,3.26,0.33,2.0,6,1.0,1,0.0,2.0,2.33,0.0,21,90,89,81.9,7.27,98.97
18,1.0,0.0,2.0,3.0,4.0,1.0,71.34,2.83,94.64,91.67,1.0,3.42,2.75,0,3.03,0.0,0.0,0.0,2.0,7,1.0,5.57,0.0,4.26,0.12,1.0,10,1.0,0,0.0,1.0,0.97,0.0,1,97,41,58.66,10.0,44.19
14,0.0,1.0,2.0,4.0,0.0,0.0,63.81,2.4,84.74,65.18,2.0,1.86,1.07,0,1.58,0.0,2.0,0.0,2.0,5,2.0,6.91,0.0,5.95,1.37,2.0,9,0.0,1,0.0,0.0,3.78,2.0,6,88,31,64.92,8.18,36.88
20,1.0,1.0,2.0,2.0,3.0,2.0,71.95,2.57,88.45,79.91,0.0,4.63,2.97,0,2.37,2.0,0.0,2.0,2.0,8,1.0,7.21,2.0,4.33,3.86,1.0,10,1.0,1,0.0,0.0,2.28,0.0,21,93,82,100.0,9.15,89.57
15,0.0,1.0,1.0,4.0,0.0,1.0,70.76,2.74,84.61688196855897,70.37,2.0,1.06,0.93,0,2.83,0.0,1.0,4.0,2.0,2,0.0,6.53,3.0,4.17,0.37,0.0,10,0.0,1,0.0,0.0,1.57,1.0,27,97,63,65.53,9.47,65.28
17,1.0,1.0,2.0,4.0,4.0,2.0,78.23,2.98,82.18,58.06,2.0,1.35,1.18,0,4.46,0.0,0.0,0.0,0.0,7,0.0,7.51,1.0,4.63,8.46,0.0,10,0.0,1,1.0,1.0,2.34,0.0,17,91,68,69.56,10.0,76.9
14,1.0,1.0,1.0,2.0,3.0,0.0,67.59,2.96,86.1,77.85,1.0,5.51,4.0,1,0.4,0.0,0.0,0.0,1.0,8,1.0,8.66,2.0,3.69,1.55,1.0,6,1.0,1,0.0,1.0,3.07,2.0,3,95,66,100.0,9.23,72.53
17,1.0,0.0,2.0,3.0,2.0,0.0,59.31,2.49,76.21,80.57,1.0,6.95,5.76,0,1.1,1.0,0.0,4.0,2.0,11,0.0,9.71,2.0,3.36,7.98,1.0,10,1.0,1,0.0,2.0,0.07,2.0,18,97,78,86.38,8.67,79.86
19,1.0,0.0,1.0,3.0,1.0,0.0,65.58,2.64,83.83,70.64,1.0,2.87,1.75,1,1.86,2.0,0.0,1.0,2.0,5,0.0,6.48,2.0,5.75,5.14,0.0,10,2.0,1,1.0,2.0,2.85,0.0,19,98,41,67.01,9.43,44.92
15,1.0,0.0,1.0,3.0,0.0,0.0,66.7,2.85,81.14,52.94,1.0,3.98,3.12,0,4.84,2.0,2.0,1.0,2.0,7,0.0,7.59,1.0,3.49,0.38,2.0,10,2.0,1,0.0,2.0,4.68,1.0,6,97,53,80.81,10.0,53.38
15,1.0,1.0,2.0,2.0,0.0,0.0,70.23,2.71,89.09,58.91,0.0,1.82,0.99,0,5.52,1.0,2.0,0.0,2.0,8,0.0,6.54,3.0,5.39,1.17,1.0,10,1.0,1,0.0,2.0,1.48,2.0,4,87,45,78.55,10.0,52.55
14,0.0,1.0,2.0,2.0,0.0,2.0,58.77,2.08,84.61688196855897,87.26,2.0,7.15,4.82,0,0.05,2.0,0.0,0.0,2.0,10,0.0,6.96,2.0,5.11,3.93,1.0,10,2.0,1,0.0,0.0,8.23,1.0,23,99,78,74.58,8.86,79.1
15,1.0,1.0,2.0,3.0,1.0,2.0,80.88,3.29,78.69,72.1,2.0,4.95,2.99,0,0.48,0.0,0.0,0.0,2.0,6,0.0,7.32,3.0,3.48,2.46,0.0,10,2.0,1,0.0,2.0,0.65,2.0,5,85,56,64.63,10.0,65.71
18,1.0,0.0,1.0,2.0,0.0,2.0,76.47,3.14,91.99,75.87,0.0,5.09,3.42,0,4.48,2.0,2.0,4.0,2.0,3,1.0,5.07,1.0,4.88,0.76,1.0,10,0.0,1,0.0,2.0,3.85,1.0,15,95,55,100.0,8.86,57.71
15,0.0,0.0,0.0,3.0,1.0,2.0,54.31,2.12,84.61688196855897,75.14,0.0,2.38,1.76,0,1.23,0.0,2.0,4.0,2.0,1,0.0,5.34,1.0,3.08,0.16,0.0,10,1.0,1,1.0,0.0,6.34,1.0,12,93,25,70.15,10.0,25.8
17,1.0,1.0,2.0,1.0,1.0,2.0,36.28,1.23,84.61688196855897,60.65,2.0,1.13,0.61,1,0.88,0.0,0.0,3.0,2.0,4,0.0,8.43,1.0,5.87,4.47,0.0,10,0.0,1,0.0,1.0,0.32,2.0,26,91,42,65.67,10.0,48.17
17,1.0,1.0,1.0,4.0,4.0,0.0,71.1,2.71,100.0,70.93,1.0,4.65,2.45,0,2.58,1.0,2.0,3.0,1.0,4,0.0,6.98,1.0,4.95,0.21,0.0,9,1.0,1,0.0,1.0,10.12,1.0,7,87,63,89.34,10.0,71.52
20,1.0,0.0,2.0,0.0,3.0,0.0,72.71,2.97,80.26,58.32,2.0,4.75,3.75,1,1.29,2.0,0.0,2.0,2.0,8,1.0,8.07,3.0,1.89,0.88,2.0,7,2.0,1,0.0,1.0,2.96,1.0,22,100,58,72.07,6.06,59.1
17,0.0,0.0,2.0,2.0,3.0,0.0,57.56,2.29,84.93,70.88,2.0,3.16,1.73,0,4.43,1.0,2.0,2.0,2.0,6,0.0,5.18,2.0,4.8,0.49,1.0,10,2.0,1,1.0,0.0,2.28,2.0,9,85,49,81.64,8.84,57.2
20,1.0,0.0,2.0,2.0,3.0,0.0,71.74,2.87,84.61688196855897,77.47,2.0,4.15,2.41,0,5.2,1.0,1.0,3.0,2.0,4,0.0,8.32,2.0,7.11,0.22,2.0,10,0.0,1,1.0,0.0,0.08,2.0,2,85,56,100.0,9.21,68.52
17,1.0,1.0,1.0,2.0,3.0,0.0,68.75,2.8,98.63,81.03,0.0,4.18,3.35,0,1.15,2.0,1.0,1.0,0.0,4,2.0,5.54,1.0,6.16,7.83,1.0,10,2.0,0,0.0,2.0,1.32,2.0,10,90,34,80.48,10.0,40.32
18,1.0,0.0,2.0,3.0,3.0,1.0,79.72,2.89,76.23,62.2,0.0,3.02,2.66,1,2.88,2.0,2.0,0.0,0.0,6,0.0,6.24,2.0,6.07,0.66,0.0,10,2.0,1,0.0,2.0,0.79,2.0,6,90,45,64.45,8.76,50.63
20,1.0,0.0,2.0,0.0,1.0,1.0,61.28,2.55,87.97,80.52,2.0,2.69,2.22,0,1.12,2.0,2.0,3.0,0.0,4,1.0,8.42,1.0,6.41,6.23,1.0,10,1.0,0,1.0,2.0,11.41,0.0,29,88,51,94.86,10.0,58.17
16,0.0,0.0,2.0,2.0,2.0,0.0,63.22,2.56,84.61688196855897,51.65,2.0,3.82,3.33,1,0.84,2.0,2.0,0.0,1.0,6,0.0,6.99,0.0,1.83,0.46,1.0,10,0.0,1,0.0,0.0,4.0,2.0,17,86,51,81.66,10.0,61.03
19,0.0,0.0,2.0,1.0,3.0,2.0,61.35,2.41,80.55,65.69,2.0,1.92,1.53,0,0.08,2.0,2.0,2.0,2.0,3,0.0,7.92,1.0,3.7,1.41,2.0,10,2.0,1,0.0,2.0,1.8,1.0,27,94,41,97.76,9.5,43.29
14,0.0,0.0,1.0,2.0,3.0,1.0,81.76,3.26,89.41,68.92,2.0,1.47,0.87,0,0.19,1.0,1.0,0.0,1.0,2,0.0,5.68,1.0,6.83,2.48,0.0,10,2.0,1,0.0,0.0,4.36,0.0,9,92,66,60.88,9.84,71.79
17,1.0,1.0,2.0,3.0,0.0,2.0,56.96,1.93,71.44,48.62,2.0,0.96,0.6,0,5.79,2.0,1.0,1.0,2.0,3,2.0,6.42,2.0,4.43,0.75,2.0,10,2.0,1,0.0,1.0,6.17,1.0,2,89,9,75.76,8.89,9.6
15,0.0,1.0,2.0,4.0,1.0,2.0,84.83,3.39,96.31,63.54,1.0,2.84,1.84,0,4.68,2.0,1.0,2.0,2.0,3,2.0,6.65,0.0,3.23,0.87,2.0,10,2.0,1,0.0,2.0,1.27,0.0,28,98,95,81.57,10.0,95.75
17,0.0,1.0,1.0,2.0,4.0,2.0,65.76,2.66,81.64,73.45,2.0,0.5,0.31,0,0.28,2.0,1.0,1.0,1.0,5,0.0,5.71,0.0,5.64,1.28,1.0,10,2.0,1,1.0,1.0,6.99,0.0,9,94,59,85.73,9.98,62.67
15,1.0,0.0,1.0,1.0,3.0,1.0,73.37,3.08,82.8,74.41,2.0,2.18,1.16,0,0.51,1.0,0.0,0.0,0.0,9,2.0,6.54,1.0,6.46,0.54,0.0,10,2.0,1,1.0,2.0,2.86,0.0,22,99,79,60.1,8.71,77.87
19,1.0,0.0,1.0,1.0,1.0,2.0,64.58,2.59,87.39,84.61,1.0,5.0,2.99,0,1.94,2.0,0.0,3.0,2.0,5,0.0,7.51,2.0,7.73,1.0,1.0,7,0.0,1,0.0,1.0,0.05,0.0,18,92,92,86.85,7.16,98.85
19,1.0,0.0,2.0,4.0,4.0,2.0,77.76,3.04,84.61688196855897,63.1,2.0,4.57,2.74,0,1.35,2.0,1.0,3.0,2.0,8,0.0,6.53,2.0,3.88,10.5,2.0,10,0.0,1,1.0,2.0,2.89,2.0,6,98,83,68.9,10.0,85.75
19,1.0,1.0,2.0,3.0,1.0,0.0,70.11,2.87,78.61,87.03,2.0,5.46,2.85,1,2.71,1.0,0.0,4.0,2.0,7,0.0,7.76,2.0,3.2,3.38,1.0,10,1.0,1,0.0,2.0,3.57,2.0,6,94,74,59.32,10.0,80.23
15,1.0,0.0,2.0,1.0,4.0,1.0,43.91,1.73,84.61688196855897,70.33,1.0,5.5,3.96,0,0.94,2.0,2.0,1.0,2.0,7,0.0,5.3,1.0,6.77,0.52,1.0,10,2.0,1,0.0,1.0,1.41,0.0,4,89,74,77.25,8.76,81.98
17,1.0,0.0,2.0,3.0,1.0,2.0,61.52,2.68,79.75,84.82,2.0,4.76,3.73,1,0.03,1.0,0.0,1.0,2.0,11,1.0,5.8,3.0,6.94,2.85,1.0,10,2.0,1,1.0,0.0,0.07,1.0,19,91,42,78.39855100844147,9.4,44.07
19,0.0,0.0,2.0,3.0,1.0,2.0,73.53,2.6,90.15,64.88,1.0,0.66,0.42,1,0.75,2.0,2.0,2.0,2.0,4,0.0,5.64,2.0,3.18,0.39,1.0,10,2.0,1,0.0,0.0,3.36,0.0,30,86,32,72.54,9.32,36.23
18,1.0,1.0,2.0,0.0,0.0,2.0,64.67,2.65,84.47,89.24,1.0,3.34,2.67,1,1.97,1.0,2.0,2.0,2.0,6,2.0,6.26,2.0,3.86,1.59,1.0,10,2.0,1,0.0,2.0,0.49,2.0,16,90,66,81.66,8.37,71.89
20,0.0,0.0,0.0,1.0,4.0,1.0,60.47,2.52,94.27,72.18,2.0,1.33,1.07,0,2.8,0.0,1.0,1.0,0.0,3,0.0,7.39,3.0,4.22,5.38,1.0,10,2.0,1,0.0,2.0,0.16,1.0,7,88,40,83.85,10.0,42.87
15,1.0,1.0,2.0,3.0,0.0,2.0,67.12,2.68,84.61688196855897,62.45,1.0,4.06,2.69,0,0.74,2.0,2.0,3.0,2.0,6,0.0,5.75,0.0,7.84,0.27,1.0,8,2.0,1,0.0,2.0,1.07,2.0,2,92,66,88.97,9.16,70.13
15,1.0,1.0,1.0,2.0,3.0,1.0,87.18,3.65,80.18,65.41,1.0,3.43,2.88,0,0.67,2.0,1.0,0.0,0.0,6,1.0,6.94,3.0,3.16,1.96,1.0,10,2.0,1,0.0,2.0,4.38,1.0,1,91,41,46.78,10.0,47.16
